model,accuracy,macro_f1
Fine-tuned XLM-R (ours),0.6850467289719626,0.6845598436566659
XLM-R Twitter Sentiment (general),0.5420560747663551,0.5125982019607153
mBERT Multilingual (general),0.4794392523364486,0.4462149822710117
mBERT Nepali Sentiment (Nepal-aware),0.46261682242990654,0.4642486789716349
